epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,679.982,1.20623,1.54826,0.59014,0.91434,0.86288,0.81199,0.88281,0.47739,0.65675,0.62163,0.62757,0.22442,1.33875,1.81153,0.62089,0.92841,0.000909688,0.000909688,0.000909688
57,692.067,1.15728,1.48434,0.57761,0.90721,0.88023,0.81593,0.88707,0.49843,0.69067,0.61768,0.64869,0.24653,1.31225,1.74127,0.622,0.92094,0.0009035,0.0009035,0.0009035
58,704.151,1.17582,1.51225,0.57901,0.91631,0.89991,0.82714,0.90319,0.49271,0.69667,0.615,0.63164,0.23505,1.37793,1.86626,0.63718,0.92918,0.000897313,0.000897313,0.000897313
59,716.064,1.19372,1.54447,0.59291,0.91006,0.87983,0.83411,0.90167,0.48718,0.64145,0.59956,0.59913,0.23534,1.38985,2.04078,0.64301,0.92862,0.000891125,0.000891125,0.000891125
60,728.122,1.1556,1.51386,0.57428,0.90954,0.91158,0.80796,0.90621,0.50349,0.71047,0.59862,0.62154,0.24244,1.33378,1.71667,0.61352,0.92861,0.000884938,0.000884938,0.000884938
61,740.18,1.19003,1.51509,0.58052,0.91448,0.85836,0.80309,0.8768,0.5007,0.63044,0.63215,0.63919,0.23104,1.32152,1.75962,0.61247,0.9236,0.00087875,0.00087875,0.00087875
62,752.207,1.13607,1.47617,0.5644,0.8997,0.87517,0.84184,0.88251,0.48808,0.63617,0.65114,0.62042,0.24272,1.30724,1.73432,0.61428,0.92599,0.000872563,0.000872563,0.000872563
63,764.121,1.18176,1.5235,0.57906,0.90952,0.84127,0.83488,0.88885,0.49208,0.60288,0.61848,0.60015,0.21623,1.36019,1.79324,0.62401,0.92891,0.000866375,0.000866375,0.000866375
64,776.151,1.16545,1.47267,0.57172,0.90544,0.85112,0.83305,0.88964,0.49397,0.6665,0.65362,0.66139,0.24714,1.38133,1.93874,0.6234,0.9275,0.000860188,0.000860188,0.000860188
65,787.944,1.11777,1.46613,0.55534,0.8993,0.88719,0.81759,0.89521,0.52042,0.68066,0.62578,0.64566,0.24069,1.27453,1.75288,0.59528,0.91505,0.000854,0.000854,0.000854
66,799.78,1.11006,1.47249,0.55073,0.89025,0.90859,0.77874,0.88023,0.51055,0.68643,0.60566,0.63496,0.24505,1.31967,1.80042,0.62331,0.92452,0.000847813,0.000847813,0.000847813
67,811.638,1.09283,1.46059,0.55116,0.89355,0.88892,0.80537,0.8863,0.50973,0.67176,0.6089,0.6219,0.23917,1.33153,1.787,0.61162,0.92718,0.000841625,0.000841625,0.000841625
68,823.547,1.11331,1.45227,0.5516,0.89535,0.87007,0.81529,0.87936,0.47583,0.6697,0.62979,0.62754,0.23904,1.35944,1.88402,0.6194,0.92839,0.000835438,0.000835438,0.000835438
69,835.396,1.13837,1.49402,0.56272,0.90662,0.89439,0.79864,0.89059,0.50436,0.65865,0.56473,0.60115,0.23141,1.33889,1.85347,0.62092,0.92255,0.00082925,0.00082925,0.00082925
70,847.468,1.12593,1.45454,0.55882,0.89307,0.9242,0.80024,0.89869,0.50258,0.70691,0.58389,0.6245,0.23609,1.32736,1.88029,0.61378,0.92971,0.000823063,0.000823063,0.000823063
71,859.399,1.12977,1.46421,0.5568,0.89516,0.87718,0.82642,0.8853,0.47368,0.63512,0.6267,0.61737,0.24424,1.41555,1.97311,0.63222,0.93511,0.000816875,0.000816875,0.000816875
72,871.429,1.10184,1.42935,0.54507,0.88782,0.87161,0.81923,0.89104,0.52198,0.61609,0.60784,0.59432,0.22199,1.30097,1.71331,0.59306,0.92409,0.000810688,0.000810688,0.000810688
73,883.457,1.09281,1.42572,0.53909,0.88561,0.86439,0.82366,0.89432,0.52219,0.65988,0.62569,0.63077,0.24153,1.27586,1.79458,0.59312,0.91698,0.0008045,0.0008045,0.0008045
74,895.441,1.08069,1.43025,0.53576,0.89025,0.88223,0.86046,0.92243,0.53462,0.65822,0.63047,0.63408,0.24185,1.27328,1.67513,0.5854,0.9165,0.000798313,0.000798313,0.000798313
75,907.53,1.09678,1.43671,0.54386,0.89504,0.90826,0.81442,0.90392,0.50769,0.6831,0.59945,0.62517,0.23751,1.32702,1.71769,0.5955,0.92579,0.000792125,0.000792125,0.000792125
76,919.516,1.08831,1.42219,0.54782,0.89523,0.88279,0.85544,0.91201,0.51473,0.67224,0.66264,0.64265,0.25416,1.30906,1.76742,0.60273,0.91819,0.000785938,0.000785938,0.000785938
77,931.401,1.06712,1.40984,0.53981,0.8902,0.87953,0.82335,0.90039,0.52405,0.67675,0.67466,0.64826,0.25381,1.28475,1.6887,0.59399,0.92158,0.00077975,0.00077975,0.00077975
78,943.524,1.07767,1.39388,0.53965,0.88245,0.8526,0.84852,0.90147,0.51123,0.65077,0.64905,0.64986,0.24978,1.29587,1.73121,0.5988,0.91801,0.000773563,0.000773563,0.000773563
79,955.501,1.07877,1.43638,0.54212,0.89103,0.87629,0.84043,0.90536,0.51535,0.68479,0.65709,0.64843,0.25541,1.30851,1.72135,0.60169,0.91974,0.000767375,0.000767375,0.000767375
80,967.523,1.07814,1.43581,0.54302,0.89019,0.86043,0.86682,0.90579,0.5242,0.65559,0.65917,0.6374,0.24448,1.30675,1.6902,0.59907,0.92089,0.000761188,0.000761188,0.000761188
81,979.455,1.06328,1.41281,0.53351,0.88335,0.86963,0.84024,0.90633,0.52192,0.66847,0.59251,0.6177,0.23748,1.28362,1.73367,0.60407,0.91455,0.000755,0.000755,0.000755
82,991.441,1.08726,1.41423,0.54448,0.88836,0.88404,0.88026,0.93573,0.53778,0.73381,0.65901,0.70229,0.27162,1.2981,1.71085,0.59399,0.9141,0.000748813,0.000748813,0.000748813
83,1003.49,1.05453,1.38848,0.53309,0.8914,0.89688,0.85106,0.92559,0.54912,0.71732,0.65575,0.67098,0.26986,1.26743,1.66592,0.58173,0.91658,0.000742625,0.000742625,0.000742625
84,1015.61,1.07589,1.41649,0.5396,0.88399,0.85639,0.79061,0.87913,0.50889,0.64436,0.58856,0.59691,0.21867,1.36445,1.84295,0.61465,0.92864,0.000736438,0.000736438,0.000736438
85,1027.59,1.06596,1.37688,0.53208,0.8863,0.87622,0.81555,0.89003,0.5199,0.6793,0.63961,0.64255,0.24942,1.29929,1.74791,0.59355,0.91974,0.00073025,0.00073025,0.00073025
86,1039.64,1.03448,1.37132,0.52339,0.88008,0.86917,0.81638,0.89757,0.53036,0.67775,0.61176,0.62499,0.22607,1.29197,1.91826,0.59395,0.92072,0.000724062,0.000724062,0.000724062
87,1051.56,1.05598,1.38973,0.52712,0.87898,0.87602,0.86356,0.91903,0.52045,0.67225,0.65508,0.66167,0.25938,1.30156,1.79801,0.59019,0.92168,0.000717875,0.000717875,0.000717875
88,1063.58,1.04025,1.39124,0.52252,0.88115,0.87287,0.82248,0.89422,0.53243,0.69814,0.6488,0.6653,0.26169,1.29682,1.79135,0.58966,0.91937,0.000711687,0.000711687,0.000711687
89,1075.61,1.04436,1.37292,0.52778,0.88102,0.90252,0.84816,0.91437,0.53654,0.64951,0.65764,0.62719,0.24419,1.28956,1.72754,0.59576,0.91573,0.0007055,0.0007055,0.0007055
90,1087.75,1.05793,1.39897,0.53042,0.88006,0.90066,0.81891,0.90576,0.52791,0.67578,0.62842,0.62497,0.23634,1.2928,1.75507,0.59588,0.9162,0.000699312,0.000699312,0.000699312
91,1099.81,1.04988,1.39314,0.52619,0.87672,0.8912,0.83508,0.91124,0.52033,0.69758,0.57628,0.6133,0.23095,1.30091,1.8102,0.59548,0.9236,0.000693125,0.000693125,0.000693125
92,1111.84,1.03146,1.36492,0.52178,0.87788,0.87996,0.81252,0.88166,0.50227,0.67768,0.57387,0.59633,0.22735,1.33589,1.8711,0.59719,0.92738,0.000686937,0.000686937,0.000686937
93,1123.88,1.04721,1.38305,0.51859,0.87598,0.90424,0.87099,0.92101,0.55186,0.71076,0.67147,0.68032,0.26348,1.26562,1.68337,0.57996,0.91223,0.00068075,0.00068075,0.00068075
94,1135.84,1.04753,1.37085,0.5251,0.8781,0.88797,0.87795,0.92375,0.54291,0.6707,0.66875,0.65005,0.25241,1.28096,1.6718,0.58159,0.91644,0.000674562,0.000674562,0.000674562
95,1147.66,1.01744,1.35437,0.5128,0.87516,0.88676,0.85313,0.91721,0.54736,0.66665,0.65736,0.65454,0.26394,1.26888,1.6966,0.57684,0.91027,0.000668375,0.000668375,0.000668375
96,1159.45,1.02671,1.37474,0.51185,0.87154,0.90446,0.8283,0.91491,0.54176,0.71119,0.61936,0.66394,0.25397,1.28076,1.73452,0.5825,0.91132,0.000662188,0.000662188,0.000662188
97,1171.28,1.03441,1.35496,0.51449,0.88269,0.89,0.7931,0.88246,0.50507,0.68375,0.61233,0.62961,0.23466,1.35262,1.81481,0.59937,0.9222,0.000656,0.000656,0.000656
98,1183.3,1.01207,1.34753,0.50889,0.88056,0.89326,0.86171,0.92438,0.54342,0.67912,0.67831,0.65974,0.26051,1.27957,1.74982,0.583,0.9147,0.000649813,0.000649813,0.000649813
99,1195.28,1.01615,1.3129,0.50633,0.86421,0.90965,0.86709,0.92508,0.54418,0.69713,0.65556,0.65976,0.25269,1.27223,1.67973,0.58461,0.91416,0.000643625,0.000643625,0.000643625
100,1207.36,1.00889,1.30357,0.50285,0.87319,0.89887,0.82506,0.90905,0.54664,0.70859,0.66563,0.6809,0.26926,1.27123,1.78801,0.578,0.91632,0.000637437,0.000637437,0.000637437
101,1219.32,0.9987,1.31036,0.50432,0.87014,0.87626,0.8362,0.90169,0.54507,0.65642,0.63327,0.63392,0.2457,1.25182,1.72504,0.57392,0.9148,0.00063125,0.00063125,0.00063125
102,1231.34,1.00745,1.32448,0.50181,0.86857,0.89263,0.86647,0.92597,0.5431,0.69532,0.68145,0.67613,0.26492,1.28639,1.63431,0.57167,0.91855,0.000625062,0.000625062,0.000625062
103,1243.23,1.01709,1.34868,0.50598,0.8716,0.91218,0.84678,0.92675,0.55306,0.69737,0.67364,0.685,0.27179,1.26909,1.63121,0.57266,0.91741,0.000618875,0.000618875,0.000618875
104,1255.33,1.00841,1.29734,0.50261,0.86747,0.87016,0.86342,0.91081,0.54378,0.73313,0.62595,0.6741,0.2625,1.27549,1.68141,0.56888,0.91343,0.000612687,0.000612687,0.000612687
105,1267.23,0.96755,1.29062,0.49268,0.86987,0.8657,0.85197,0.91335,0.54875,0.66523,0.6515,0.65209,0.24689,1.28454,1.73412,0.57232,0.91365,0.0006065,0.0006065,0.0006065
106,1279.16,0.98591,1.30509,0.49909,0.86968,0.8618,0.84596,0.89957,0.53042,0.72699,0.57969,0.62603,0.23823,1.30307,1.94144,0.57912,0.91815,0.000600313,0.000600313,0.000600313
107,1291.15,0.98467,1.31128,0.49714,0.86301,0.892,0.84755,0.91106,0.54465,0.67999,0.65625,0.65264,0.25907,1.27821,1.77271,0.57743,0.91522,0.000594125,0.000594125,0.000594125
108,1303.13,1.0083,1.35451,0.50642,0.87609,0.92999,0.83817,0.92469,0.5374,0.6842,0.67185,0.67042,0.26116,1.28446,1.76731,0.57819,0.91834,0.000587938,0.000587938,0.000587938
109,1315.11,0.99714,1.31323,0.50207,0.87002,0.89593,0.82822,0.9105,0.53651,0.66223,0.62827,0.62547,0.24158,1.28298,1.768,0.58009,0.9101,0.00058175,0.00058175,0.00058175
110,1327.13,0.9667,1.31009,0.49212,0.87177,0.87466,0.83955,0.89789,0.52662,0.65338,0.6591,0.64613,0.25412,1.29767,1.81036,0.58556,0.91844,0.000575563,0.000575563,0.000575563
111,1339.08,0.98505,1.31957,0.49648,0.87377,0.90939,0.82731,0.92663,0.53577,0.71399,0.65013,0.66454,0.25504,1.2746,1.72336,0.57551,0.91157,0.000569375,0.000569375,0.000569375
112,1351.12,0.99152,1.31229,0.50004,0.86613,0.88309,0.81872,0.89729,0.52264,0.67492,0.62566,0.63657,0.2567,1.34285,1.91376,0.59104,0.92002,0.000563187,0.000563187,0.000563187
113,1363.16,0.97157,1.27938,0.49274,0.86654,0.88587,0.84417,0.90497,0.54422,0.66697,0.62371,0.63353,0.24803,1.2861,1.83555,0.57927,0.91418,0.000557,0.000557,0.000557
